,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
15,0.43652901649475095,0.004384913897488989,0.09583830833435059,0.0009967046082748519,1,"{1: 1, 0: 1}",poly,4,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'degree': 4, 'kernel': 'poly'}",0.5900783289817232,0.5890052356020943,0.5890052356020943,0.5890052356020943,0.5890052356020943,0.58921985427802,0.00042923735185156347,32
16,0.28587164878845217,0.005498762565581892,0.053153181076049806,0.0015477930007100655,2,"{1: 1, 0: 2}",poly,1,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'degree': 1, 'kernel': 'poly'}",0.7571801566579635,0.7591623036649214,0.7146596858638743,0.7984293193717278,0.7460732984293194,0.7551009527975613,0.026889252961510218,23
17,0.4265890598297119,0.0036112887300034147,0.09155535697937012,0.00063386573428421,2,"{1: 1, 0: 2}",poly,2,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'degree': 2, 'kernel': 'poly'}",0.7989556135770235,0.7670157068062827,0.756544502617801,0.7643979057591623,0.7486910994764397,0.7671209656473419,0.01716037575741057,21
18,0.4365487575531006,0.0011618722593260097,0.09488306045532227,0.000277251658625439,2,"{1: 1, 0: 2}",poly,3,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'degree': 3, 'kernel': 'poly'}",0.4255874673629243,0.43717277486910994,0.4293193717277487,0.418848167539267,0.4424083769633508,0.4306672316924801,0.008336517185021618,35
19,0.4401284694671631,0.0005924087066546418,0.09551415443420411,0.00011443322871125432,2,"{1: 1, 0: 2}",poly,4,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'degree': 4, 'kernel': 'poly'}",0.40992167101827676,0.4109947643979058,0.4109947643979058,0.4109947643979058,0.4109947643979058,0.41078014572198,0.00042923735185160786,38
20,0.27111425399780276,0.0030308711979266313,0.0514732837677002,0.00042082975891874827,2,"{1: 1, 0: 1}",poly,1,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'degree': 1, 'kernel': 'poly'}",0.8198433420365535,0.7827225130890052,0.7958115183246073,0.819371727748691,0.7931937172774869,0.8021885636952687,0.014882563093172449,8
21,0.4260645866394043,0.0007545298974807515,0.09209623336791992,0.00020139354974270553,2,"{1: 1, 0: 1}",poly,2,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'degree': 2, 'kernel': 'poly'}",0.835509138381201,0.7984293193717278,0.8010471204188482,0.819371727748691,0.7879581151832461,0.8084630842207428,0.01689150236453421,1
22,0.4269603729248047,0.005251859325347403,0.09499902725219726,0.0006091161869296811,2,"{1: 1, 0: 1}",poly,3,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'degree': 3, 'kernel': 'poly'}",0.6814621409921671,0.6387434554973822,0.6780104712041884,0.743455497382199,0.6858638743455497,0.6855070878842973,0.033518781693082485,27
23,0.4267305850982666,0.0005742875849117313,0.09553761482238769,0.00016741313265796796,2,"{1: 1, 0: 1}",poly,4,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'degree': 4, 'kernel': 'poly'}",0.5926892950391645,0.5890052356020943,0.5890052356020943,0.5942408376963351,0.5890052356020943,0.5907891679083566,0.002239274474398108,30
24,0.29305081367492675,0.006447726635713207,0.05050373077392578,0.0008453906748818594,3,"{1: 1, 0: 2}",poly,1,"{'C': 3, 'class_weight': {1: 1, 0: 2}, 'degree': 1, 'kernel': 'poly'}",0.7676240208877284,0.7486910994764397,0.7172774869109948,0.7984293193717278,0.7460732984293194,0.755619045015242,0.026780708808055078,22
